iceberg_id,timestamp,latitude,longitude,is_observed,sensor,size_major_km,size_minor_km
a01,1978-07-23 00:00:00+00:00,-60.2193,-48.4826,True,sass,,
a01,1978-07-24 00:00:00+00:00,-60.2179,-48.4879,True,sass,,
a01,1978-07-25 00:00:00+00:00,-60.2165,-48.4931,True,sass,,
a01,1978-07-26 00:00:00+00:00,-60.215,-48.4983,True,sass,,
a01,1978-07-27 00:00:00+00:00,-60.2136,-48.5035,True,sass,,
a01,1978-07-28 00:00:00+00:00,-60.2122,-48.5088,True,sass,,
a01,1978-07-29 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-07-30 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-07-31 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-08-01 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-08-02 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-08-03 00:00:00+00:00,-60.2115,-48.5114,True,sass,,
a01,1978-08-04 00:00:00+00:00,-60.1908,-48.5157,True,sass,,
a01,1978-08-05 00:00:00+00:00,-60.1495,-48.5243,True,sass,,
a01,1978-08-06 00:00:00+00:00,-60.1082,-48.5329,True,sass,,
a01,1978-08-07 00:00:00+00:00,-60.0669,-48.5414,True,sass,,
a01,1978-08-08 00:00:00+00:00,-60.0256,-48.55,True,sass,,
a01,1978-08-09 00:00:00+00:00,-59.9843,-48.5586,True,sass,,
a01,1978-08-10 00:00:00+00:00,-59.9447,-48.5109,True,sass,,
a01,1978-08-11 00:00:00+00:00,-59.9069,-48.407,True,sass,,
a01,1978-08-12 00:00:00+00:00,-59.869,-48.3031,True,sass,,
a01,1978-08-13 00:00:00+00:00,-59.8312,-48.1992,True,sass,,
a01,1978-08-14 00:00:00+00:00,-59.7934,-48.0953,True,sass,,
a01,1978-08-15 00:00:00+00:00,-59.7555,-47.9914,True,sass,,
a01,1978-08-16 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-17 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-18 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-19 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-20 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-21 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-22 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-23 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-24 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-25 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-26 00:00:00+00:00,-59.7366,-47.9394,True,sass,,
a01,1978-08-27 00:00:00+00:00,-59.5525,-47.6906,True,sass,,
a01,1978-08-28 00:00:00+00:00,-59.4726,-47.3825,True,sass,,
a01,1978-08-29 00:00:00+00:00,-59.4969,-47.015,True,sass,,
a01,1978-08-30 00:00:00+00:00,-59.5212,-46.6475,True,sass,,
a01,1978-08-31 00:00:00+00:00,-59.5455,-46.28,True,sass,,
a01,1978-09-01 00:00:00+00:00,-59.5698,-45.9125,True,sass,,
a01,1978-09-02 00:00:00+00:00,-59.5941,-45.545,True,sass,,
a01,1978-09-03 00:00:00+00:00,-59.6034,-45.3118,True,sass,,
a01,1978-09-04 00:00:00+00:00,-59.5977,-45.2129,True,sass,,
a01,1978-09-05 00:00:00+00:00,-59.592,-45.114,True,sass,,
a01,1978-09-06 00:00:00+00:00,-59.5863,-45.015,True,sass,,
a01,1978-09-07 00:00:00+00:00,-59.5806,-44.9161,True,sass,,
a01,1978-09-08 00:00:00+00:00,-59.5749,-44.8172,True,sass,,
a01,1978-09-09 00:00:00+00:00,-59.5348,-44.5658,False,sass,,
a01,1978-09-10 00:00:00+00:00,-59.4397,-44.1363,False,sass,,
a01,1978-09-11 00:00:00+00:00,-59.3011,-43.5969,False,sass,,
a01,1978-09-12 00:00:00+00:00,-59.13,-43.0157,False,sass,,
a01,1978-09-13 00:00:00+00:00,-58.9377,-42.461,False,sass,,
a01,1978-09-14 00:00:00+00:00,-58.7356,-42.0009,False,sass,,
a01,1978-09-15 00:00:00+00:00,-58.5349,-41.7037,True,sass,,
a01,1978-09-16 00:00:00+00:00,-58.2811,-41.5138,False,sass,,
a01,1978-09-17 00:00:00+00:00,-57.9468,-41.3367,False,sass,,
a01,1978-09-18 00:00:00+00:00,-57.5838,-41.1821,False,sass,,
a01,1978-09-19 00:00:00+00:00,-57.2438,-41.0597,False,sass,,
a01,1978-09-20 00:00:00+00:00,-56.9786,-40.9792,False,sass,,
a01,1978-09-21 00:00:00+00:00,-56.8399,-40.9502,True,sass,,
a01,1978-09-22 00:00:00+00:00,-56.8008,-40.9558,True,sass,,
a01,1978-09-23 00:00:00+00:00,-56.7617,-40.9615,True,sass,,
a01,1978-09-24 00:00:00+00:00,-56.7227,-40.9671,True,sass,,
a01,1978-09-25 00:00:00+00:00,-56.6836,-40.9728,True,sass,,
a01,1978-09-26 00:00:00+00:00,-56.6445,-40.9784,True,sass,,
a01,1978-09-27 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-09-28 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-09-29 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-09-30 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-10-01 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-10-02 00:00:00+00:00,-56.625,-40.9812,True,sass,,
a01,1978-10-22 00:00:00+00:00,-56.0,-34.2,True,nic,83.34,46.300000000000004
a01,1978-10-23 00:00:00+00:00,-55.8415,-33.7816,False,nic,,
a01,1978-10-24 00:00:00+00:00,-55.686,-33.3884,False,nic,,
a01,1978-10-25 00:00:00+00:00,-55.5348,-33.0347,False,nic,,
a01,1978-10-26 00:00:00+00:00,-55.3893,-32.7347,False,nic,,
a01,1978-10-27 00:00:00+00:00,-55.2508,-32.5027,False,nic,,
